START.DATE,END.DATE,CONTACT.TYPE,Contacts
2010-01-01,2010-01-01,Call - Input,84
2010-01-01,2010-01-01,Web - Input,11
2010-01-02,2010-01-02,Call - Input,236
2010-01-02,2010-01-02,Web - Input,21
2010-01-02,2010-01-03,Call - Input,1
2010-01-03,2010-01-03,Call - Input,182
2010-01-03,2010-01-03,Web - Input,10
2010-01-03,2010-01-04,Call - Input,1
2010-01-04,2010-01-04,Call - Input,3716
2010-01-04,2010-01-04,Fax - Input,41
2010-01-04,2010-01-04,Fax Acknowledgement - Input,4
2010-01-04,2010-01-04,Internal Management,17
2010-01-04,2010-01-04,Mail - Input,9
2010-01-04,2010-01-04,Mail - Recieved,6
2010-01-04,2010-01-04,Visit,502
2010-01-04,2010-01-04,Web - Input,83
2010-01-05,2010-01-05,Call - Input,2864
2010-01-05,2010-01-05,Fax - Input,26
2010-01-05,2010-01-05,Fax Acknowledgement - Input,4
2010-01-05,2010-01-05,Internal Management,13
2010-01-05,2010-01-05,Mail - Input,11
2010-01-05,2010-01-05,Mail - Recieved,7
2010-01-05,2010-01-05,Visit,393
2010-01-05,2010-01-05,Web - Input,134
2010-01-06,2010-01-06,Call - Input,152
2010-01-06,2010-01-06,Web - Input,5
2010-01-07,2010-01-07,Call - Input,3395
2010-01-07,2010-01-07,Fax - Input,37
2010-01-07,2010-01-07,Fax Acknowledgement - Input,4
2010-01-07,2010-01-07,Internal Management,36
2010-01-07,2010-01-07,Mail - Input,4
2010-01-07,2010-01-07,Mail - Recieved,9
2010-01-07,2010-01-07,Visit,384
2010-01-07,2010-01-07,Web - Input,44
2010-01-07,2010-01-08,Call - Input,1
2010-01-08,2010-01-08,Call - Input,3061
2010-01-08,2010-01-08,Fax - Input,40
2010-01-08,2010-01-08,Fax Acknowledgement - Input,5
2010-01-08,2010-01-08,Internal Management,47
2010-01-08,2010-01-08,Mail - Input,5
2010-01-08,2010-01-08,Mail - Recieved,5
2010-01-08,2010-01-08,Visit,326
2010-01-08,2010-01-08,Web - Input,99
2010-01-09,2010-01-09,Call - Input,142
2010-01-09,2010-01-09,Web - Input,10
2010-01-10,2010-01-10,Call - Input,136
2010-01-10,2010-01-10,Web - Input,9
2010-01-11,2010-01-11,Call - Input,4559
2010-01-11,2010-01-11,Fax - Input,68
2010-01-11,2010-01-11,Fax Acknowledgement - Input,12
2010-01-11,2010-01-11,Internal Management,48
2010-01-11,2010-01-11,Mail - Input,2
2010-01-11,2010-01-11,Mail - Recieved,6
2010-01-11,2010-01-11,Visit,605
2010-01-11,2010-01-11,Web - Input,114
2010-01-11,2010-01-12,Call - Input,2
2010-01-12,2010-01-12,Call - Input,4283
2010-01-12,2010-01-12,Fax - Input,64
2010-01-12,2010-01-12,Fax Acknowledgement - Input,6
2010-01-12,2010-01-12,Internal Management,34
2010-01-12,2010-01-12,Mail - Input,4
2010-01-12,2010-01-12,Mail - Recieved,8
2010-01-12,2010-01-12,Visit,550
2010-01-12,2010-01-12,Web - Input,147
2010-01-13,2010-01-13,Call - Input,3653
2010-01-13,2010-01-13,Fax - Input,74
2010-01-13,2010-01-13,Fax Acknowledgement - Input,4
2010-01-13,2010-01-13,Internal Management,32
2010-01-13,2010-01-13,Mail - Input,20
2010-01-13,2010-01-13,Mail - Recieved,11
2010-01-13,2010-01-13,Visit,528
2010-01-13,2010-01-13,Web - Input,113
2010-01-14,2010-01-14,Call - Input,3573
2010-01-14,2010-01-14,Fax - Input,40
2010-01-14,2010-01-14,Fax Acknowledgement - Input,7
2010-01-14,2010-01-14,Internal Management,34
2010-01-14,2010-01-14,Mail - Input,8
2010-01-14,2010-01-14,Mail - Recieved,16
2010-01-14,2010-01-14,Visit,416
2010-01-14,2010-01-14,Web - Input,122
2010-01-15,2010-01-15,Call - Input,3038
2010-01-15,2010-01-15,Fax - Input,31
2010-01-15,2010-01-15,Fax Acknowledgement - Input,2
2010-01-15,2010-01-15,Internal Management,23
2010-01-15,2010-01-15,Mail - Input,4
2010-01-15,2010-01-15,Mail - Recieved,18
2010-01-15,2010-01-15,Visit,376
